timestamp,sensor_id,value,description
2023-05-07 00:00:00+00:00,55,0.34,Avg wind speed (1h)
2023-05-07 00:00:00+00:00,102,17.76,Avg Temperature (1h)
2023-05-07 00:00:00+00:00,104,72.06,Avg Relative Humidity (1h)
2023-05-07 00:00:00+00:00,58,0.0,Avg solar radiation (1h)
2023-05-07 00:00:00+00:00,101,0.0,Rain accumulated (1h)
2023-05-07 00:00:24+00:00,126,0.0,irrigation
2023-05-07 00:01:26+00:00,126,0.0,irrigation
2023-05-07 00:02:28+00:00,126,0.0,irrigation
2023-05-07 00:03:30+00:00,126,0.0,irrigation
2023-05-07 00:04:33+00:00,126,0.0,irrigation
2023-05-07 00:05:35+00:00,126,0.0,irrigation
2023-05-07 00:07:39+00:00,126,0.0,irrigation
2023-05-07 00:08:41+00:00,126,0.0,irrigation
2023-05-07 00:09:44+00:00,126,0.0,irrigation
2023-05-07 00:10:46+00:00,126,0.0,irrigation
2023-05-07 00:11:48+00:00,126,0.0,irrigation
2023-05-07 00:12:50+00:00,126,0.0,irrigation
2023-05-07 00:13:52+00:00,126,0.0,irrigation
2023-05-07 00:14:55+00:00,126,0.0,irrigation
2023-05-07 00:15:18+00:00,75,93.0,tensiometer
2023-05-07 00:15:57+00:00,126,0.0,irrigation
2023-05-07 00:16:59+00:00,126,0.0,irrigation
2023-05-07 00:18:01+00:00,126,0.0,irrigation
2023-05-07 00:18:22+00:00,75,93.0,tensiometer
2023-05-07 00:19:03+00:00,126,0.0,irrigation
2023-05-07 00:20:05+00:00,126,0.0,irrigation
2023-05-07 00:21:08+00:00,126,0.0,irrigation
2023-05-07 00:22:10+00:00,126,0.0,irrigation
2023-05-07 00:23:12+00:00,126,0.0,irrigation
2023-05-07 00:24:14+00:00,126,0.0,irrigation
2023-05-07 00:25:16+00:00,126,0.0,irrigation
2023-05-07 00:26:18+00:00,126,0.0,irrigation
2023-05-07 00:27:21+00:00,126,0.0,irrigation
2023-05-07 00:28:23+00:00,126,0.0,irrigation
2023-05-07 00:29:25+00:00,126,0.0,irrigation
2023-05-07 00:30:27+00:00,126,0.0,irrigation
2023-05-07 00:31:29+00:00,126,0.0,irrigation
2023-05-07 00:32:31+00:00,126,0.0,irrigation
2023-05-07 00:33:34+00:00,126,0.0,irrigation
2023-05-07 00:34:36+00:00,126,0.0,irrigation
2023-05-07 00:35:04+00:00,75,93.0,tensiometer
2023-05-07 00:35:38+00:00,126,0.0,irrigation
2023-05-07 00:36:40+00:00,126,0.0,irrigation
2023-05-07 00:37:42+00:00,126,0.0,irrigation
2023-05-07 00:38:44+00:00,126,0.0,irrigation
2023-05-07 00:39:47+00:00,126,0.0,irrigation
2023-05-07 00:40:49+00:00,126,0.0,irrigation
2023-05-07 00:41:51+00:00,126,0.0,irrigation
2023-05-07 00:42:53+00:00,126,0.0,irrigation
